100,A,50,470
101,B,60,500
102,C,374,490
103,D,67,1000
104,E,88,400
105,F,241,1000
106,G,159,500
107,H,314,1000
108,I,205,500
109,J,490,1000
110,K,17,500
111,L,298,1000
112,M,456,500
113,N,89,1000
114,O,344,500
115,P,199,995
116,Q,77,500
117,R,210,1000
118,S,385,500
119,T,48,1000
120,U,135,500
121,V,265,1000
122,W,93,490
123,X,450,1000
124,Y,182,500
125,Z,30,1000
126,a,375,495
127,b,101,995
128,c,215,500
129,d,57,1000
130,e,328,500
131,f,145,1000
132,g,492,500
133,h,76,1000
134,i,254,490
135,j,198,1000
136,k,62,500
137,l,273,1000
138,m,189,500
139,n,35,1000
140,o,401,500
141,p,214,1000
142,q,93,500
143,r,305,1000
144,s,78,500
145,t,156,1000
146,u,287,500
147,v,34,1000
148,w,472,500
149,x,213,993
150,y,50,500
151,z,323,1000
